#TYPE Microsoft.PowerShell.Commands.HistoryInfo
"Id","CommandLine","ExecutionStatus","StartExecutionTime","EndExecutionTime"
"1","dotnet build --configuration Release","Completed","9/25/2019 3:07:01 PM","9/25/2019 3:07:08 PM"
"2","dotnet rest --configuration Release --no-build","Completed","9/25/2019 3:07:26 PM","9/25/2019 3:07:26 PM"
"3","dotnet test --configuration Release --no-build","Completed","9/25/2019 3:07:33 PM","9/25/2019 3:07:37 PM"
"4","dotnet test --configuration Release --no-build --logger trx","Completed","9/25/2019 3:08:15 PM","9/25/2019 3:08:17 PM"
"5","donet test .\Tailspin.SpaceGame.Web.Tests --configuration Release --no-build --logger trx","Completed","9/25/2019 3:08:44 PM","9/25/2019 3:08:45 PM"
"6","dotnet test .\Tailspin.SpaceGame.Web.Tests --configuration Release --no-build --logger trx","Completed","9/25/2019 3:08:57 PM","9/25/2019 3:08:58 PM"
"7","git status","Completed","9/25/2019 3:14:44 PM","9/25/2019 3:14:44 PM"
"8","git add *","Completed","9/25/2019 3:14:46 PM","9/25/2019 3:14:46 PM"
"9","git status","Completed","9/25/2019 3:14:48 PM","9/25/2019 3:14:48 PM"
"10","git commit -m ""added unit tests
""","Completed","9/25/2019 3:14:59 PM","9/25/2019 3:14:59 PM"
"11","git status","Completed","9/25/2019 3:15:02 PM","9/25/2019 3:15:02 PM"
"12","git push origin unit-tests","Completed","9/25/2019 3:15:08 PM","9/25/2019 3:15:13 PM"
"13","git commit -m ""fixed synatax error""","Completed","9/25/2019 3:16:09 PM","9/25/2019 3:16:09 PM"
"14","git add *","Completed","9/25/2019 3:16:12 PM","9/25/2019 3:16:12 PM"
"15","git commit -m ""fixed synatax error""","Completed","9/25/2019 3:16:14 PM","9/25/2019 3:16:14 PM"
"16","git push origin unit-tests","Completed","9/25/2019 3:16:19 PM","9/25/2019 3:16:23 PM"
"17","dotnet tool install --global dotnet-reportgenerator-globaltool --version 4.1.1","Completed","9/25/2019 3:24:56 PM","9/25/2019 3:24:58 PM"
"18","dotnet test --no-build --configuration Release /p:CollectCoverage=true /p:CoverletOutputFormat=cobertura /p:CoverletOutput=./TestResults/Coverage/","Completed","9/25/2019 3:26:43 PM","9/25/2019 3:26:47 PM"
"19","$HOME/.dotnet/tools/reportgenerator -reports:./Tailspin.SpaceGame.Web.Tests/TestResults/Coverage/coverage.cobertura.xml -targetdir:./CodeCoverage -reporttypes:HtmlInline_AzurePipelines","Failed","9/25/2019 3:28:50 PM","9/25/2019 3:28:50 PM"
"20","$HOME/.dotnet/tools/reportgenerator -reports:./Tailspin.SpaceGame.Web.Tests/TestResults/Coverage/coverage.cobertura.xml -targetdir:./CodeCoverage -reporttypes:HtmlInline_AzurePipelines","Failed","9/25/2019 3:29:29 PM","9/25/2019 3:29:29 PM"
"21","$HOME","Completed","9/25/2019 3:29:34 PM","9/25/2019 3:29:34 PM"
"22","$HOME\.dotnet\tools\reportgenerator -reports:.\Tailspin.SpaceGame.Web.Tests/TestResults\Coverage\coverage.cobertura.xml -targetdir:.\CodeCoverage -reporttypes:HtmlInline_AzurePipelines","Failed","9/25/2019 3:30:08 PM","9/25/2019 3:30:08 PM"
"23","$HOME/.dotnet/tools/reportgenerator -reports:./Tailspin.SpaceGame.Web.Tests/TestResults/Coverage/coverage.cobertura.xml -targetdir:./CodeCoverage -reporttypes:HtmlInline_AzurePipelines","Failed","9/25/2019 3:30:24 PM","9/25/2019 3:30:24 PM"
"24","$HOME/.dotnet/tools/reportgenerator -reports:./Tailspin.SpaceGame.Web.Tests/TestResults/Coverage/coverage.cobertura.xml -targetdir:./CodeCoverage -reporttypes:HtmlInline_AzurePipelines","Failed","9/25/2019 3:30:29 PM","9/25/2019 3:30:29 PM"
"25","$HOME/"".dotnet/tools/reportgenerator"" -reports:./Tailspin.SpaceGame.Web.Tests/TestResults/Coverage/coverage.cobertura.xml -targetdir:./CodeCoverage -reporttypes:HtmlInline_AzurePipelines","Failed","9/25/2019 3:31:00 PM","9/25/2019 3:31:00 PM"
"26","$HOME/.dotnet/tools/reportgenerator -reports:./Tailspin.SpaceGame.Web.Tests/TestResults/Coverage/coverage.cobertura.xml -targetdir:./CodeCoverage -reporttypes:HtmlInline_AzurePipelines","Failed","9/25/2019 3:31:20 PM","9/25/2019 3:31:20 PM"
"27","$HOME","Completed","9/25/2019 3:31:27 PM","9/25/2019 3:31:27 PM"
"28","ls $HOME\","Completed","9/25/2019 3:31:35 PM","9/25/2019 3:31:35 PM"
"29","ls $HOME\.dotnet","Completed","9/25/2019 3:31:43 PM","9/25/2019 3:31:43 PM"
"30","ls $HOME\.dotnet\tools","Completed","9/25/2019 3:31:48 PM","9/25/2019 3:31:48 PM"
"31","$HOME\.dotnet\tools\reportgenerator -reports:./Tailspin.SpaceGame.Web.Tests/TestResults/Coverage/coverage.cobertura.xml -targetdir:./CodeCoverage -reporttypes:HtmlInline_AzurePipelines","Failed","9/25/2019 3:32:08 PM","9/25/2019 3:32:08 PM"
"32","$HOME\.dotnet\tools\reportgenerator -reports:.\Tailspin.SpaceGame.Web.Tests\TestResults\Coverage\coverage.cobertura.xml -targetdir:.\CodeCoverage -reporttypes:HtmlInline_AzurePipelines","Failed","9/25/2019 3:32:43 PM","9/25/2019 3:32:43 PM"
"33","ls $HOME\.dotnet\tools\reportgenerator","Completed","9/25/2019 3:33:09 PM","9/25/2019 3:33:09 PM"
"34","ls $HOME\.dotnet\tools\","Completed","9/25/2019 3:33:16 PM","9/25/2019 3:33:16 PM"
"35","$HOME\.dotnet\tools\reportgenerator.exe -reports:./Tailspin.SpaceGame.Web.Tests/TestResults/Coverage/coverage.cobertura.xml -targetdir:./CodeCoverage -reporttypes:HtmlInline_AzurePipelines","Failed","9/25/2019 3:33:29 PM","9/25/2019 3:33:29 PM"
"36","($HOME\.dotnet\tools\reportgenerator.exe) -reports:./Tailspin.SpaceGame.Web.Tests/TestResults/Coverage/coverage.cobertura.xml -targetdir:./CodeCoverage -reporttypes:HtmlInline_AzurePipelines","Failed","9/25/2019 3:33:49 PM","9/25/2019 3:33:49 PM"
